"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NUZG9CFQ","webpage","2024","APRI","Local Solutions, Global Impact: Climate Adaptation in West Africa","APRI","","","https://doi.org/10.59184/ca024.01","https://afripoli.org/local-solutions-global-impact-climate-adaptation-in-west-africa","","2024-07-05","2026-03-09 15:06:12","2026-03-09 15:08:25","2026-09-03","","","","","","","","","","","","APRI","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERCV93FQ","webpage","2024","Bernards, Nick; Mbungu, Grace","Climate Justice Inverted? Global Shield, Insurance, & The Climate Loss & Damages","APRI","","","https://doi.org/10.59184/pb023.09","","","2024-02-19","2026-03-09 15:08:38","2026-03-09 15:22:54","2026-09-03","","","","","","","","","","","","APRI","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9NRPM4XE","webpage","2023","Roberts, Roberts","Rising Voices: The African Youth’s Fight for a Sustainable Future","APRI","","","https://doi.org/10.59184/sa.034","https://afripoli.org/rising-voices-the-african-youths-fight-for-a-sustainable-future","","2023-01-12","2026-03-09 15:10:19","2026-03-09 15:22:33","2026-09-03","","","","","","","","","","","","APRI","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7HVEZK3","webpage","2026","Dahiru Aminu, Dahiru Aminu","What Africa’s waste crisis reveals about power, politics and people","APRI","","","https://doi.org/10.59184/cm.026.01","https://afripoli.org/what-africas-waste-crisis-reveals-about-power-politics-and-people","","2026-02-18","2026-03-09 15:12:33","2026-03-09 15:22:27","2026-09-03","","","","","","","","","","","","APRI","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J66HHAMW","webpage","2025","Covaiselvan, Covaiselvan","Gender, wealth and wellbeing: Promising pathways to a just transition","APRI","","","","https://afripoli.org/gender-wealth-and-wellbeing-promising-pathways-to-a-just-transition","","2025-10-04","2026-03-09 15:13:27","2026-03-09 15:22:19","2026-09-03","","","","","","","","","","","","APRI","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEWDJF2S","webpage","2023","Sy, Ibrahima","Unlocking Adaptation Potential: Insights into Senegal’s climate change policies, initiatives and local actions","APRI","","","https://doi.org/10.59184/ca023.001","https://afripoli.org/unlocking-adaptation-potential-insights-into-senegals-climate-change-policies-initiatives-and-local-actions","","2023-02-08","2026-03-09 15:14:46","2026-03-09 15:22:12","2026-09-03","","","","","","","","","","","","APRI","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W83QGXU2","webpage","2025","Prempeh, Serwah; Roberts, Isabella","Expert interview with Kulthoum Omari-Motsumi on climate adaptation at COP30","APRI","","","","https://afripoli.org/expert-interview-with-kulthoum-omari-motsumi-on-climate-adaptation-at-cop30","","2025-11-21","2026-03-09 15:16:19","2026-03-09 15:22:05","","","","","","","","","","","","","APRI","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6UHI4V9","webpage","2023","Odarno, Lily","Expert Interview with Dr. Lily Odarno, Director of the Energy and Climate Innovation Program (Africa) at the Clean Air Task Force","APRI","","","","https://afripoli.org/expert-interview-with-dr-lily-odarno-director-of-the-energy-and-climate-innovation-program-africa-at-the-clean-air-task-force","","2023-01-12","2026-03-09 15:17:23","2026-03-09 15:19:39","","","","","","","","","","","","","APRI","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IP7RQSX2","webpage","2023","APRI","Climate Adaptation in West Africa: Strategies, Practices, and Initiatives: Factsheets","APRI","","","","https://afripoli.org/climate-adaptation-in-west-africa-strategies-practices-and-initiatives-factsheets","","2023-02-20","2026-03-09 15:19:48","2026-03-09 15:20:34","","","","","","","","","","","","","APRI","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DD8Q5V6A","webpage","2022","Arhin, Albert","Climate Change Adaptation in Ghana: Strategies, Initiatives, and Practices","APRI","","","","https://afripoli.org/climate-change-adaptation-in-ghana-strategies-initiatives-and-practices","","2022-10-10","2026-03-09 15:20:37","2026-03-09 15:21:33","","","","","","","","","","","","","APRI","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
